STATE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017  (through 3/31/2017),2017  (through 6/30/2017)
MT,,,,,,,3,5,7,10,12,13,16,20,24,24,25,26,28,24,22,21,22,26,31,31,31,35,41,49,62,74,79,86,92
NC,,,,,,6,8,11,12,14,20,25,36,40,50,52,51,38,38,41,43,45,46,45,50,52,61,71,94,125,155,207,260,287,311
ND,,,,,,,,,,,,3,3,4,6,3,3,3,3,3,4,4,3,3,3,3,3,3,7,8,10,11,15,17,18
NE,,,,,,,,,5,6,6,8,8,9,8,9,9,11,10,12,12,16,16,17,16,17,16,18,20,25,35,39,47,49,52
NH,,,,,,,,,3,4,9,14,18,19,19,19,19,17,17,16,16,14,14,15,16,17,19,21,25,35,46,63,73,77,82
NJ,,,,,,,,,,,5,7,20,23,27,28,24,22,20,22,21,21,21,21,20,22,24,31,29,37,49,71,96,102,111
NM,,,,,,,,3,5,8,10,12,20,26,27,26,26,23,23,20,22,22,23,21,20,21,26,30,38,48,60,71,86,91,105
NV,,,,,,,,,,3,3,5,10,18,20,24,22,16,17,16,17,16,16,16,17,18,20,20,23,26,34,39,44,43,44
NY,,,3,4,5,6,8,13,16,20,27,44,70,84,88,81,78,83,84,86,80,82,82,77,81,84,100,123,150,193,255,329,394,420,454
OH,,,,,3,5,6,9,12,15,20,28,40,55,68,77,87,74,64,59,55,53,57,58,66,66,75,81,99,114,151,187,236,269,297
OK,,,,,,,,,,4,6,8,9,9,10,10,9,6,6,6,7,8,7,6,9,10,10,10,13,17,18,21,26,28,37
OR,,3,5,8,13,15,21,26,30,37,48,54,73,86,88,88,82,82,81,87,92,88,95,96,108,108,120,148,180,220,244,281,304,323,337
PA,4,4,5,6,6,8,11,12,12,12,15,27,42,56,63,74,73,81,76,78,86,78,81,94,97,96,118,146,162,183,233,278,333,352,386
RI,,,,,,,,,,,3,6,5,6,5,6,8,7,7,6,6,5,5,5,5,5,5,6,9,12,14,15,17,19,23
SC,,,,,,,,,,,,11,19,21,23,22,19,19,19,21,21,19,16,17,16,15,16,17,23,30,37,51,59,70,80
SD,,,,,,,,,,,,,5,5,5,7,7,6,7,7,6,6,7,8,7,7,8,9,12,12,15,19,21,23,26
TN,,,,,,,,,3,5,9,13,15,21,25,23,23,23,22,22,24,19,19,22,23,23,26,31,45,51,69,88,101,108,113
TX,4,4,4,4,5,7,8,7,8,11,27,48,63,71,65,66,59,47,42,41,40,45,47,45,47,47,59,84,107,128,170,220,266,279,306
UT,,,,,,,,3,4,4,8,13,15,17,17,20,20,16,17,15,16,15,17,15,15,18,18,18,22,24,27,29,34,36,36
VA,,,,,,,4,5,7,12,9,12,17,23,27,29,31,29,30,30,31,34,35,35,43,42,44,54,67,85,117,155,209,238,262
VT,,,,,,3,4,6,6,7,10,12,20,24,27,24,23,19,25,25,26,24,24,22,24,27,32,34,39,45,51,66,73,76,78
WA,4,4,4,4,7,8,10,13,15,21,28,48,79,109,115,118,113,94,94,91,93,100,108,110,121,138,157,188,230,266,314,383,424,448,471
WI,5,6,7,10,12,14,17,18,19,23,29,35,50,57,65,77,91,82,90,90,97,98,103,105,110,108,119,126,146,146,168,189,217,237,248
WV,,,,,,,,,,,3,,4,4,5,5,6,4,5,5,4,4,6,6,6,8,8,8,8,9,13,17,24,24,26
WY,,,,,,,,,,,,8,10,14,15,13,13,11,11,11,13,14,14,14,14,13,16,15,19,25,28,32,33,36,37
Other,16,19,22,26,26,26,26,15,17,17,13,9,,,,,,,,,,,2,2,1,2,,2,,,,,,,
  Total,42,52,68,95,140,197,250,321,398,513,682,974,1411,1770,1908,1991,1964,1817,1794,1791,1832,1821,1865,1933,2045,2129,2343,2725,3312,3934,4938,6080,7190,7714,8301
